date,demand
2020/9/21,550.361
2020/9/22,941.608
2020/9/23,3165.102
2020/9/24,6369.972
2020/9/25,4453.683
2020/9/26,440.207
2020/9/27,1336.484
2020/9/28,383.721
2020/9/29,0
2020/9/30,20.668
2020/10/1,0
2020/10/2,348.103
2020/10/3,952.956
2020/10/4,966.154
2020/10/5,137.071
2020/10/6,585.748
2020/10/7,53.168
2020/10/8,75.097
2020/10/9,679.146
2020/10/10,312.468
2020/10/11,264.315
2020/10/12,436.428
2020/10/13,1008.503
2020/10/14,839.393
2020/10/15,208.883
2020/10/16,34.268
2020/10/17,89.689
2020/10/18,183.565
2020/10/19,1088.521
2020/10/20,1993.401
2020/10/21,3670.759
2020/10/22,5029.774
2020/10/23,3744.925
2020/10/24,1981.878
2020/10/25,1058.401
2020/10/26,1840.454
2020/10/27,6518.613
2020/10/28,2202.726
2020/10/29,4.116
2020/10/30,203.33
2020/10/31,0
2020/11/1,0
2020/11/2,132
2020/11/3,255.144
2020/11/4,1372.376
2020/11/5,2362.279
2020/11/6,650.854
2020/11/7,607.674
2020/11/8,343.267
2020/11/9,810.75
2020/11/10,1093.694
2020/11/11,1850.163
2020/11/12,1796.399
2020/11/13,580.591
2020/11/14,64.798
2020/11/15,981.506
2020/11/16,179.529
2020/11/17,1710.574
2020/11/18,781.349
2020/11/19,3487.123
2020/11/20,3223.463
2020/11/21,81.902
2020/11/22,298.947
2020/11/23,2321.742
2020/11/24,4935.785
2020/11/25,5443.502
2020/11/26,1486.44
2020/11/27,975.805
2020/11/28,0
2020/11/29,0
2020/11/30,0
2020/12/1,98.603
2020/12/2,219.696
2020/12/3,370.836
2020/12/4,27.872
2020/12/5,24.13
2020/12/6,52.656
2020/12/7,1719.519
2020/12/8,1332.022
2020/12/9,1616.852
2020/12/10,1554.173
2020/12/11,2128.616
2020/12/12,4698.235
2020/12/13,809.874
2020/12/14,3942.981
2020/12/15,2105.825
2020/12/16,1014.819
2020/12/17,1011.274
2020/12/18,5435.74
2020/12/19,1703.814
2020/12/20,222.542
2020/12/21,4005.631
2020/12/22,5953.609
2020/12/23,3323.92
2020/12/24,3212.14
2020/12/25,6469.351
2020/12/26,532.109
2020/12/27,327.405
2020/12/28,713.297
2020/12/29,50.65
2020/12/30,166.65
2020/12/31,96.887
2021/1/1,0
2021/1/2,0
2021/1/3,0
2021/1/4,0
2021/1/5,0
2021/1/6,0
2021/1/7,0
2021/1/8,0
2021/1/9,0
2021/1/10,0
2021/1/11,0
2021/1/12,0
2021/1/13,0
2021/1/14,0
2021/1/15,0
2021/1/16,0
2021/1/17,0
2021/1/18,0
2021/1/19,0
2021/1/20,0
2021/1/21,0
2021/1/22,0
2021/1/23,0
2021/1/24,0
2021/1/25,0
2021/1/26,0
2021/1/27,0
2021/1/28,64.81
2021/1/29,0
2021/1/30,0
2021/1/31,0
2021/2/1,0
2021/2/2,0
2021/2/3,0
2021/2/4,0
2021/2/5,0
2021/2/6,0
2021/2/7,0
2021/2/8,0
2021/2/9,0
2021/2/10,0
2021/2/11,0
2021/2/12,0
2021/2/13,0
2021/2/14,0
2021/2/15,0
2021/2/16,0
2021/2/17,0
2021/2/18,0
2021/2/19,0
2021/2/20,0
2021/2/21,0
2021/2/22,48
2021/2/23,24.108
2021/2/24,1272.95
2021/2/25,1659.423
2021/2/26,2659.288
2021/2/27,6069.621
2021/2/28,0
2021/3/1,0
2021/3/2,0
2021/3/3,8.245
2021/3/4,1146.504
2021/3/5,14.936
2021/3/6,0
2021/3/7,0
2021/3/8,2.839
2021/3/9,137.21
2021/3/10,9.492
2021/3/11,2639.841
2021/3/12,1849
2021/3/13,0
2021/3/14,0
2021/3/15,483.683
2021/3/16,3309.363
2021/3/17,1006.989
2021/3/18,538.063
2021/3/19,205.423
2021/3/20,24.506
2021/3/21,337.926
2021/3/22,1563.229
2021/3/23,1282.92
2021/3/24,350.928
2021/3/25,2391.607
2021/3/26,926.852
2021/3/27,256.086
2021/3/28,224.77
2021/3/29,215.004
2021/3/30,2277.145
2021/3/31,103.001
2021/4/1,386.2
2021/4/2,542.467
2021/4/3,145.071
2021/4/4,100.819
2021/4/5,264.305
2021/4/6,324.443
2021/4/7,211.048
2021/4/8,965.869
2021/4/9,732.68
2021/4/10,131.702
2021/4/11,208.684
2021/4/12,206.479
2021/4/13,231.261
2021/4/14,895.659
2021/4/15,1040.953
2021/4/16,830.928
2021/4/17,1093.328
2021/4/18,2949.86
2021/4/19,3218.213
2021/4/20,1966.041
2021/4/21,1059.841
2021/4/22,869.975
2021/4/23,2546.102
2021/4/24,2854.522
2021/4/25,10758.686
2021/4/26,2407.088
2021/4/27,289.487
2021/4/28,70
2021/4/29,23.346
2021/4/30,0
