date,demand,cap
2020/8/19,217.83,0
2020/8/20,966.47,0
2020/8/21,201.88,0
2020/8/22,113.66,0
2020/8/23,792.28,0
2020/8/24,518.09,0
2020/8/25,1408.43,0
2020/8/26,211.01,0
2020/8/27,0,0
2020/8/28,0,0
2020/8/29,0,0
2020/8/30,0,0
2020/8/31,0,0
2020/9/1,210.17,0
2020/9/2,219.22,0
2020/9/3,187.94,0
2020/9/4,175.7,0
2020/9/5,152.1,0
2020/9/6,6.15,0
2020/9/7,60.18,0
2020/9/8,68.68,0
2020/9/9,1209.22,0
2020/9/10,785.07,0
2020/9/11,165.35,0
2020/9/12,403.46,0
2020/9/13,818.07,0
2020/9/14,245.07,0
2020/9/15,33.85,0
2020/9/16,499.16,0
2020/9/17,144.95,0
2020/9/18,243.46,0
2020/9/19,268.57,0
2020/9/20,1656.11,0
2020/9/21,453.62,0
2020/9/22,111.11,0
2020/9/23,317.4,0
2020/9/24,396.13,0
2020/9/25,186.38,0
2020/9/26,4.13,0
2020/9/27,62.04,0
2020/9/28,0,0
2020/9/29,0,0
2020/9/30,0,0
2020/10/1,0,0
2020/10/2,348.1,0
2020/10/3,952.95,0
2020/10/4,966.16,0
2020/10/5,137.08,0
2020/10/6,585.75,0
2020/10/7,53.17,0
2020/10/8,75.1,0
2020/10/9,679.12,0
2020/10/10,312.48,0
2020/10/11,264.32,0
2020/10/12,290.22,0
2020/10/13,873.63,0
2020/10/14,251.49,0
2020/10/15,205.39,0
2020/10/16,14.71,0
2020/10/17,89.69,0
2020/10/18,183.57,0
2020/10/19,91.33,0
2020/10/20,653.41,0
2020/10/21,610.38,0
2020/10/22,561.47,0
2020/10/23,1127.12,0
2020/10/24,514.29,0
2020/10/25,235.49,0
2020/10/26,726.47,0
2020/10/27,0,0
2020/10/28,0,0
2020/10/29,0,0
2020/10/30,0,0
2020/10/31,0,0
2020/11/1,0,0
2020/11/2,132,0
2020/11/3,255.13,0
2020/11/4,1372.38,0
2020/11/5,1864.51,0
2020/11/6,540.37,0
2020/11/7,607.67,0
2020/11/8,343.26,0
2020/11/9,708.93,0
2020/11/10,734.21,0
2020/11/11,205.32,0
2020/11/12,1166.99,0
2020/11/13,580.59,0
2020/11/14,64.8,0
2020/11/15,696.8,0
2020/11/16,174.17,0
2020/11/17,435.93,0
2020/11/18,287.41,0
2020/11/19,1262.77,0
2020/11/20,158.12,0
2020/11/21,78.9,0
2020/11/22,245.32,0
2020/11/23,1018.63,0
2020/11/24,703.9,0
2020/11/25,1095.43,0
2020/11/26,32.21,0
2020/11/27,0,0
2020/11/28,0,0
2020/11/29,0,0
2020/11/30,0,0
2020/12/1,98.6,0
2020/12/2,218.34,0
2020/12/3,303.83,0
2020/12/4,10.22,0
2020/12/5,24.13,0
2020/12/6,52.66,0
2020/12/7,994.38,0
2020/12/8,1139.26,0
2020/12/9,344.96,0
2020/12/10,864.47,0
2020/12/11,369.49,0
2020/12/12,288.64,0
2020/12/13,785.89,0
2020/12/14,2785.93,0
2020/12/15,392.6,0
2020/12/16,43.79,0
2020/12/17,82.13,0
2020/12/18,21.38,0
2020/12/19,15,0
2020/12/20,31.01,0
2020/12/21,900.96,0
2020/12/22,825.38,0
2020/12/23,320.08,0
2020/12/24,441.68,0
2020/12/25,83.23,0
2020/12/26,0,0
2020/12/27,33.11,0
2020/12/28,0,0
2020/12/29,0,0
2020/12/30,0,0
2020/12/31,25.2,0
2021/1/1,0,0
2021/1/2,0,0
2021/1/3,0,0
2021/1/4,0,0
2021/1/5,0,0
2021/1/6,0,0
2021/1/7,0,0
2021/1/8,0,0
2021/1/9,0,0
2021/1/10,0,0
2021/1/11,0,0
2021/1/12,0,0
2021/1/13,0,0
2021/1/14,0,0
2021/1/15,0,0
2021/1/16,0,0
2021/1/17,0,0
2021/1/18,0,0
2021/1/19,0,0
2021/1/20,0,0
2021/1/21,0,0
2021/1/22,0,0
2021/1/23,0,0
2021/1/24,0,0
2021/1/25,0,0
2021/1/26,0,0
2021/1/27,0,0
2021/1/28,0,0
2021/1/29,0,0
2021/1/30,0,0
2021/1/31,0,0
2021/2/1,0,0
2021/2/2,0,0
2021/2/3,0,0
2021/2/4,0,0
2021/2/5,0,0
2021/2/6,0,0
2021/2/7,0,0
2021/2/8,0,0
2021/2/9,0,0
2021/2/10,0,0
2021/2/11,0,0
2021/2/12,0,0
2021/2/13,0,0
2021/2/14,0,0
2021/2/15,0,0
2021/2/16,0,0
2021/2/17,0,0
2021/2/18,0,0
2021/2/19,0,0
2021/2/20,0,0
